time,temp,rain,Tm,pop,dpopdt,season1,season2,season3,season4,season5,season6,RH,rain_chirps
1997,21.9129,0.4426,16.1935,2277405.338,0,0.6667,0.1667,0,0,0,0.1667,49.3581,0
1997.0833,24.0286,0,17.5286,2277405.338,0,0.4792,0.4792,0.0208,0,0,0.0208,43.45,0
1997.1667,28.8935,0,22.9,2277405.338,0,0.1667,0.6667,0.1667,0,0,0,41.37419,0.6144
1997.25,29.2379,0,24.2552,2277405.338,0,0.0208,0.4792,0.4792,0.0208,0,0,55.72072,0
1997.3333,30.5677,0.0329,26.5548,2277405.338,0,0,0.1667,0.6667,0.1667,0,0,68.2,5.6052
1997.4167,29.5967,12.6913,26.3533,2277405.338,0,0,0.0208,0.4792,0.4792,0.0208,0,82.06,340.8406
1997.5,29.0032,5.0552,26.8,2277405.338,0,0,0,0.1667,0.6667,0.1667,0,86.79352,243.5586
1997.5833,28.2645,8.4723,25.9355,2277405.338,0,0,0,0.0208,0.4792,0.4792,0.0208,87.64514,297.5492
1997.6667,28.3367,2.574,25.4933,2277405.338,0,0,0,0,0.1667,0.6667,0.1667,83.30663,27.892
1997.75,28.9677,0,23.8323,2277405.338,0,0.0208,0,0,0.0208,0.4792,0.4792,63.26771,8.1373
1997.8333,27.7607,0.1632,22.9286,2277405.338,0,0.1667,0,0,0,0.1667,0.6667,62.50354,7.476
1997.9167,23.0806,0.0655,17.7323,2277405.338,0,0.4792,0.0208,0,0,0.0208,0.4792,66.17743,0
1998,23.28,0,17.02,2406827.247,129422,0.6667,0.1667,0,0,0,0.1667,53.515035,0
1998.0833,24.8143,0,19.1357,2406827.247,0,0.4792,0.4792,0.0208,0,0,0.0208,46.312455,0
1998.1667,28.1258,0,21.571,2406827.247,0,0.1667,0.6667,0.1667,0,0,0,48.130635,0
1998.25,31.1966,0,25.7517,2406827.247,0,0.0208,0.4792,0.4792,0.0208,0,0,60.28449,0
1998.3333,32.6548,0,28.1935,2406827.247,0,0,0.1667,0.6667,0.1667,0,0,64.456455,0
1998.4167,31.4233,1.6937,28.3267,2406827.247,0,0,0.0208,0.4792,0.4792,0.0208,0,73.324965,216.6466
1998.5,29.3867,17.348,26.7433,2406827.247,0,0,0,0.1667,0.6667,0.1667,0,82.600035,604.3283
1998.5833,28.7167,6.6203,26.2567,2406827.247,0,0,0,0.0208,0.4792,0.4792,0.0208,84.454965,361.2797
1998.6667,28.9593,6.0396,25.6074,2406827.247,0,0,0,0,0.1667,0.6667,0.1667,80.577735,205.7193
1998.75,29.0419,3.9655,25.1419,2406827.247,0,0.0208,0,0,0.0208,0.4792,0.4792,73.05963,110.9845
1998.8333,26.7033,0.8467,21.5467,2406827.247,0,0.1667,0,0,0,0.1667,0.6667,59.080035,13.3343
1998.9167,24.4148,0,17.0222,2406827.247,0,0.4792,0.0208,0,0,0.0208,0.4792,51.138885,0.1484
1999,23.0433,0,15.3467,2543604.031,136777,0.6667,0.1667,0,0,0,0.1667,52.183367,0
1999.0833,26.3571,0,18.8857,2543604.031,0,0.4792,0.4792,0.0208,0,0,0.0208,56.366102,0
1999.1667,28.86,0,21.32,2543604.031,0,0.1667,0.6667,0.1667,0,0,0,48.471,0
1999.25,30.56,0,25.0367,2543604.031,0,0.0208,0.4792,0.4792,0.0208,0,0,62.630631,0
1999.3333,30.56,0.0253,26.54,2543604.031,0,0,0.1667,0.6667,0.1667,0,0,73.972631,0
1999.4167,30.4455,2.6091,27.1591,2543604.031,0,0,0.0208,0.4792,0.4792,0.0208,0,75.629526,339.2675
1999.5,28.8,5.3869,26.9448,2543604.031,0,0,0,0.1667,0.6667,0.1667,0,85.083404,288.5592
1999.5833,28.19,2.8017,26.1367,2543604.031,0,0,0,0.0208,0.4792,0.4792,0.0208,83.46,70.1395
1999.6667,28.7852,2.0126,26.2185,2543604.031,0,0,0,0,0.1667,0.6667,0.1667,79.259287,106.3661
1999.75,28.3323,5.9484,24.1484,2543604.031,0,0.0208,0,0,0.0208,0.4792,0.4792,71.759015,134.4695
1999.8333,26.71,0,21.2367,2543604.031,0,0.1667,0,0,0,0.1667,0.6667,52.073369,4.6333
1999.9167,23.8767,0,17.7067,2543604.031,0,0.4792,0.0208,0,0,0.0208,0.4792,49.648,0
2000,23.8448,0,17.5724,2688153.657,144550,0.6667,0.1667,0,0,0,0.1667,47.7586,0
2000.0833,23.9379,0,17.6621,2688153.657,0,0.4792,0.4792,0.0208,0,0,0.0208,45,0
2000.1667,27.8226,0,21.3677,2688153.657,0,0.1667,0.6667,0.1667,0,0,0,42.7742,0
2000.25,30.3379,0,25.9586,2688153.657,0,0.0208,0.4792,0.4792,0.0208,0,0,60.3793,0
2000.3333,29.9889,0.6778,27.2111,2688153.657,0,0,0.1667,0.6667,0.1667,0,0,73.7778,10.4505
2000.4167,30.6571,0.2052,28.2381,2688153.657,0,0,0.0208,0.4792,0.4792,0.0208,0,74.7619,164.9819
2000.5,28.0111,16.4159,26.4111,2688153.657,0,0,0,0.1667,0.6667,0.1667,0,86.7407,651.5228
2000.5833,28.4179,3.4646,26.0321,2688153.657,0,0,0,0.0208,0.4792,0.4792,0.0208,83.9643,235.8807
2000.6667,28.9,0.3104,25.6407,2688153.657,0,0,0,0,0.1667,0.6667,0.1667,75,13.5116
